"";"x"
"1";0,00218165464253804
"2";0,00654492239324038
"3";0,0109080655416138
"4";0,0152710010220712
"5";0,0196336457729826
"6";0,0239959167382488
"7";0,0283577308688863
"8";0,0327190051246073
"9";0,0370796564753947
"10";0,0414396019030962
"11";0,04579875840299
"12";0,0501570429853748
"13";0,0545143726771341
"14";0,0588706645233427
"15";0,0632258355888177
"16";0,0675798029597135
"17";0,0719324837450976
"18";0,0762837950785113
"19";0,080633654119584
"20";0,0849819780555725
"21";0,0893286841029612
"22";0,0936736895090103
"23";0,098016911553377
"24";0,102358267549645
"25";0,106697674846917
"26";0,111035050831398
"27";0,115370312927929
"28";0,119703378601623
"29";0,124034165359374
"30";0,128362590751468
"31";0,132688572373108
"32";0,13701202786605
"33";0,141332874920109
"34";0,14565103127475
"35";0,149966414720664
"36";0,154278943101287
"37";0,158588534314449
"38";0,162895106313849
"39";0,167198577110672
"40";0,171498864775098
"41";0,175795887437942
"42";0,180089563292134
"43";0,184379810594313
"44";0,188666547666386
"45";0,192949692897039
"46";0,197229164743373
"47";0,201504881732383
"48";0,205776762462544
"49";0,210044725605308
"50";0,21430868990676
"51";0,218568574189059
"52";0,222824297352029
"53";0,227075778374711
"54";0,231322936316845
"55";0,235565690320515
"56";0,239803959611607
"57";0,244037663501371
"58";0,248266721387915
"59";0,252491052757852
"60";0,256710577187707
"61";0,260925214345524
"62";0,265134883992372
"63";0,269339505983827
"64";0,273539000271613
"65";0,277733286905025
"66";0,281922286032472
"67";0,286105917902986
"68";0,29028410286783
"69";0,294456761381877
"70";0,298623814005228
"71";0,302785181404678
"72";0,306940784355206
"73";0,311090543741571
"74";0,315234380559729
"75";0,319372215918376
"76";0,323503971040391
"77";0,327629567264468
"78";0,331748926046498
"79";0,335861968961078
"80";0,339968617703063
"81";0,344068794088931
"82";0,348162420058491
"83";0,352249417676133
"84";0,356329709132462
"85";0,360403216745677
"86";0,364469862963174
"87";0,368529570362921
"88";0,372582261654949
"89";0,376627859682873
"90";0,380666287425265
"91";0,38469746799724
"92";0,388721324651845
"93";0,392737780781541
"94";0,396746759919585
"95";0,400748185741682
"96";0,404741982067205
"97";0,408728072860799
"98";0,412706382233806
"99";0,416676834445582
"100";0,420639353905177
"101";0,424593865172554
"102";0,428540292960155
"103";0,4324785621342
"104";0,436408597716358
"105";0,440330324884889
"106";0,444243668976279
"107";0,448148555486575
"108";0,452044910072715
"109";0,455932658554219
"110";0,459811726914296
"111";0,463682041301443
"112";0,467543528030678
"113";0,471396113585229
"114";0,475239724617645
"115";0,479074287951309
"116";0,482899730581898
"117";0,486715979678563
"118";0,490522962585621
"119";0,494320606823685
"120";0,49810884009116
"121";0,501887590265497
"122";0,505656785404841
"123";0,509416353749049
"124";0,513166223721344
"125";0,51690632392951
"126";0,520636583167224
"127";0,524356930415691
"128";0,528067294844591
"129";0,531767605813785
"130";0,53545779287436
"131";0,539137785770251
"132";0,54280751443937
"133";0,546466909015058
"134";0,550115899827279
"135";0,553754417404194
"136";0,557382392473152
"137";0,560999755962368
"138";0,564606439001865
"139";0,568202372925186
"140";0,571787489270243
"141";0,575361719781108
"142";0,578924996408947
"143";0,582477251313449
"144";0,586018416864136
"145";0,589548425641619
"146";0,593067210438896
"147";0,59657470426256
"148";0,600070840334276
"149";0,603555552091755
"150";0,607028773190328
"151";0,610490437503951
"152";0,613940479126593
"153";0,61737883237356
"154";0,620805431782561
"155";0,624220212115115
"156";0,627623108357642
"157";0,631014055722945
